age;educ;insch;male;nkids;married;credit_famille
19;none;False;False;3;True;0.2547153319253401
19;none;False;False;4;False;0.195872927236073
19;none;False;False;4;True;0.2547153319253401
19;none;False;False;5;False;0.195872927236073
19;none;False;False;5;True;0.2547153319253401
19;none;False;False;6;False;0.195872927236073
19;none;False;False;6;True;0.2547153319253401
19;none;False;False;7;False;0.195872927236073
19;none;False;False;7;True;0.2547153319253401
19;none;False;True;0;False;6.6244613357558955e-18
19;none;False;True;0;True;1.1644652157629625e-17
19;none;False;True;1;False;0.07406141365686414
19;none;False;True;1;True;0.009547175604674607
19;none;False;True;2;False;0.19295464514261793
19;none;False;True;2;True;0.008281302177757993
19;none;False;True;3;False;0.003248312086375699
19;none;False;True;3;True;0.005785537967951321
19;none;False;True;4;False;0.003248312086375699
19;none;False;True;4;True;0.005785537967951321
19;none;False;True;5;False;0.003248312086375699
19;none;False;True;5;True;0.005785537967951321
19;none;False;True;6;False;0.003248312086375699
19;none;False;True;6;True;0.005785537967951321
19;none;False;True;7;False;0.003248312086375699
19;none;False;True;7;True;0.005785537967951321
19;none;True;False;0;False;-1.6601280059806293e-17
19;none;True;False;0;True;2.0099949202249683e-16
19;none;True;False;1;False;0.110008491828403
19;none;True;False;1;True;0.09588270841584522
19;none;True;False;2;False;0.36383191360765976
19;none;True;False;2;True;0.17267448381463285
19;none;True;False;3;False;0.38843026121242
19;none;True;False;3;True;0.39240929965857135
19;none;True;False;4;False;0.38843026121242
19;none;True;False;4;True;0.39240929965857135
19;none;True;False;5;False;0.38843026121242
19;none;True;False;5;True;0.39240929965857135
19;none;True;False;6;False;0.38843026121242
19;none;True;False;6;True;0.39240929965857135
19;none;True;False;7;False;0.38843026121242
19;none;True;False;7;True;0.39240929965857135
19;none;True;True;0;False;-9.78683857948915e-18
19;none;True;True;0;True;1.1709904476900233e-17
19;none;True;True;1;False;2.0038042614080876e-17
19;none;True;True;1;True;0.039822130302785044
19;none;True;True;2;False;0.012122609980944186
19;none;True;True;2;True;0.02424521996188838
19;none;True;True;3;False;4.004199561639228e-17
19;none;True;True;3;True;0.06706046346669589
19;none;True;True;4;False;4.004199561639228e-17
19;none;True;True;4;True;0.06706046346669589
19;none;True;True;5;False;4.004199561639228e-17
19;none;True;True;5;True;0.06706046346669589
19;none;True;True;6;False;4.004199561639228e-17
19;none;True;True;6;True;0.06706046346669589
19;none;True;True;7;False;4.004199561639228e-17
19;none;True;True;7;True;0.06706046346669589
19;uni;False;False;0;False;-1.9467931831070612e-17
19;uni;False;False;0;True;1.7827697529840315e-17
19;uni;False;False;1;False;0.05767252066123635
19;uni;False;False;1;True;0.02760750661678208
19;uni;False;False;2;False;0.05373116592033085
19;uni;False;False;2;True;0.05652978406320685
19;uni;False;False;3;False;0.03647916148691416
19;uni;False;False;3;True;0.17248856239245175
19;uni;False;False;4;False;0.03647916148691416
19;uni;False;False;4;True;0.17248856239245175
19;uni;False;False;5;False;0.03647916148691416
19;uni;False;False;5;True;0.17248856239245175
19;uni;False;False;6;False;0.03647916148691416
19;uni;False;False;6;True;0.17248856239245175
19;uni;False;False;7;False;0.03647916148691416
19;uni;False;False;7;True;0.17248856239245175
19;uni;False;True;0;False;-3.818960819640695e-17
19;uni;False;True;0;True;5.135228712336956e-18
19;uni;False;True;1;False;0.02598201372753863
19;uni;False;True;1;True;0.012107472821401555
19;uni;False;True;2;False;0.07577779642588466
19;uni;False;True;2;True;0.009862069096186254
19;uni;False;True;3;False;-9.217125864228185e-17
19;uni;False;True;3;True;0.008343629674079749
19;uni;False;True;4;False;-9.217125864228185e-17
19;uni;False;True;4;True;0.008343629674079749
19;uni;False;True;5;False;-9.217125864228185e-17
19;uni;False;True;5;True;0.008343629674079749
19;uni;False;True;6;False;-9.217125864228185e-17
19;uni;False;True;6;True;0.008343629674079749
19;uni;False;True;7;False;-9.217125864228185e-17
19;uni;False;True;7;True;0.008343629674079749
19;uni;True;False;0;False;-1.6601280059806293e-17
19;uni;True;False;0;True;2.0099949202249683e-16
19;uni;True;False;1;False;0.110008491828403
19;uni;True;False;1;True;0.09588270841584522
19;uni;True;False;2;False;0.36383191360765976
19;uni;True;False;2;True;0.17267448381463285
19;uni;True;False;3;False;0.38843026121242
19;uni;True;False;3;True;0.39240929965857135
19;uni;True;False;4;False;0.38843026121242
19;uni;True;False;4;True;0.39240929965857135
19;uni;True;False;5;False;0.38843026121242
19;uni;True;False;5;True;0.39240929965857135
19;uni;True;False;6;False;0.38843026121242
19;uni;True;False;6;True;0.39240929965857135
19;uni;True;False;7;False;0.38843026121242
19;uni;True;False;7;True;0.39240929965857135
19;uni;True;True;0;False;-9.78683857948915e-18
19;uni;True;True;0;True;1.1709904476900233e-17
19;uni;True;True;1;False;2.0038042614080876e-17
19;uni;True;True;1;True;0.039822130302785044
19;uni;True;True;2;False;0.012122609980944186
19;uni;True;True;2;True;0.02424521996188838
19;uni;True;True;3;False;4.004199561639228e-17
19;uni;True;True;3;True;0.06706046346669589
19;uni;True;True;4;False;4.004199561639228e-17
19;uni;True;True;4;True;0.06706046346669589
19;uni;True;True;5;False;4.004199561639228e-17
19;uni;True;True;5;True;0.06706046346669589
19;uni;True;True;6;False;4.004199561639228e-17
19;uni;True;True;6;True;0.06706046346669589
19;uni;True;True;7;False;4.004199561639228e-17
19;uni;True;True;7;True;0.06706046346669589
20;dec;False;False;0;False;1.1483528695739767e-16
20;dec;False;False;0;True;2.3612963771669996e-17
20;dec;False;False;1;False;0.1576668932149271
20;dec;False;False;1;True;0.05894932078475498
20;dec;False;False;2;False;0.2403927860258921
20;dec;False;False;2;True;0.0974186130736098
20;dec;False;False;3;False;0.32015030930694566
20;dec;False;False;3;True;0.15125663362641206
20;dec;False;False;4;False;0.32015030930694566
20;dec;False;False;4;True;0.15125663362641206
20;dec;False;False;5;False;0.32015030930694566
20;dec;False;False;5;True;0.15125663362641206
20;dec;False;False;6;False;0.32015030930694566
20;dec;False;False;6;True;0.15125663362641206
20;dec;False;False;7;False;0.32015030930694566
20;dec;False;False;7;True;0.15125663362641206
20;dec;False;True;0;False;-6.498256943802316e-18
20;dec;False;True;0;True;-1.659113227809171e-17
20;dec;False;True;1;False;0.020987741824519193
20;dec;False;True;1;True;0.009826477309960977
20;dec;False;True;2;False;0.08113643516346496
20;dec;False;True;2;True;0.017208073045490255
20;dec;False;True;3;False;0.19494520148035913
20;dec;False;True;3;True;0.018780986331582816
20;dec;False;True;4;False;0.19494520148035913
20;dec;False;True;4;True;0.018780986331582816
20;dec;False;True;5;False;0.19494520148035913
20;dec;False;True;5;True;0.018780986331582816
20;dec;False;True;6;False;0.19494520148035913
20;dec;False;True;6;True;0.018780986331582816
20;dec;False;True;7;False;0.19494520148035913
20;dec;False;True;7;True;0.018780986331582816
20;dec;True;False;0;False;-1.6601280059806293e-17
20;dec;True;False;0;True;2.0099949202249683e-16
20;dec;True;False;1;False;0.110008491828403
20;dec;True;False;1;True;0.09588270841584522
20;dec;True;False;2;False;0.36383191360765976
20;dec;True;False;2;True;0.17267448381463285
20;dec;True;False;3;False;0.38843026121242
20;dec;True;False;3;True;0.39240929965857135
20;dec;True;False;4;False;0.38843026121242
20;dec;True;False;4;True;0.39240929965857135
20;dec;True;False;5;False;0.38843026121242
20;dec;True;False;5;True;0.39240929965857135
20;dec;True;False;6;False;0.38843026121242
20;dec;True;False;6;True;0.39240929965857135
20;dec;True;False;7;False;0.38843026121242
20;dec;True;False;7;True;0.39240929965857135
20;dec;True;True;0;False;-9.78683857948915e-18
20;dec;True;True;0;True;1.1709904476900233e-17
20;dec;True;True;1;False;2.0038042614080876e-17
20;dec;True;True;1;True;0.039822130302785044
20;dec;True;True;2;False;0.012122609980944186
20;dec;True;True;2;True;0.02424521996188838
20;dec;True;True;3;False;4.004199561639228e-17
20;dec;True;True;3;True;0.06706046346669589
20;dec;True;True;4;False;4.004199561639228e-17
20;dec;True;True;4;True;0.06706046346669589
20;dec;True;True;5;False;4.004199561639228e-17
20;dec;True;True;5;True;0.06706046346669589
20;dec;True;True;6;False;4.004199561639228e-17
20;dec;True;True;6;True;0.06706046346669589
20;dec;True;True;7;False;4.004199561639228e-17
20;dec;True;True;7;True;0.06706046346669589
20;des;False;False;0;False;6.795120489425004e-17
20;des;False;False;0;True;-9.617249988489285e-18
20;des;False;False;1;False;0.16038019618339755
20;des;False;False;1;True;0.06473402872958721
20;des;False;False;2;False;0.2912356213783895
20;des;False;False;2;True;0.14486697691651435
20;des;False;False;3;False;0.5324990079156314
20;des;False;False;3;True;0.22220883923825618
20;des;False;False;4;False;0.5324990079156314
20;des;False;False;4;True;0.22220883923825618
20;des;False;False;5;False;0.5324990079156314
20;des;False;False;5;True;0.22220883923825618
20;des;False;False;6;False;0.5324990079156314
20;des;False;False;6;True;0.22220883923825618
20;des;False;False;7;False;0.5324990079156314
20;des;False;False;7;True;0.22220883923825618
20;des;False;True;0;False;8.314148744932987e-19
20;des;False;True;0;True;3.0515673916604246e-17
20;des;False;True;1;False;0.1378094130115029
20;des;False;True;1;True;0.006101429659032126
20;des;False;True;2;False;0.06505981524736587
20;des;False;True;2;True;0.01656705670776132
20;des;False;True;3;False;0.006409515881931916
20;des;False;True;3;True;0.01281903176386383
20;des;False;True;4;False;0.006409515881931916
20;des;False;True;4;True;0.01281903176386383
20;des;False;True;5;False;0.006409515881931916
20;des;False;True;5;True;0.01281903176386383
20;des;False;True;6;False;0.006409515881931916
20;des;False;True;6;True;0.01281903176386383
20;des;False;True;7;False;0.006409515881931916
20;des;False;True;7;True;0.01281903176386383
20;des;True;False;0;False;-1.6601280059806293e-17
20;des;True;False;0;True;2.0099949202249683e-16
20;des;True;False;1;False;0.110008491828403
20;des;True;False;1;True;0.09588270841584522
20;des;True;False;2;False;0.36383191360765976
20;des;True;False;2;True;0.17267448381463285
20;des;True;False;3;False;0.38843026121242
20;des;True;False;3;True;0.39240929965857135
20;des;True;False;4;False;0.38843026121242
20;des;True;False;4;True;0.39240929965857135
20;des;True;False;5;False;0.38843026121242
20;des;True;False;5;True;0.39240929965857135
20;des;True;False;6;False;0.38843026121242
20;des;True;False;6;True;0.39240929965857135
20;des;True;False;7;False;0.38843026121242
20;des;True;False;7;True;0.39240929965857135
20;des;True;True;0;False;-9.78683857948915e-18
20;des;True;True;0;True;1.1709904476900233e-17
20;des;True;True;1;False;2.0038042614080876e-17
20;des;True;True;1;True;0.039822130302785044
20;des;True;True;2;False;0.012122609980944186
20;des;True;True;2;True;0.02424521996188838
20;des;True;True;3;False;4.004199561639228e-17
